x y
5.14932 2.68362
0.18648 3.24449
1.10537 1.1547
5.36335 4.51156
8.39252 1.80735
2.39752 1.71162
5.66677 2.72959
2.79706 2.24706
2.73407 0.33144
7.20017 0.42343
7.10693 2.11283
0.2701 3.86973
6.3191 3.99295
0.8015 3.93541
2.44045 0.45823
0.31543 0.91594
0.6886 2.88499
6.06521 0.9985
9.17065 4.41527
4.43883 1.51976
7.1423 0.54276
9.71001 3.46441
9.26664 3.89193
0.74665 1.91435
6.68401 2.25902
9.80182 0.42286
8.52411 4.50812
3.188 3.6746
2.94449 4.2277
3.42729 3.74513
7.61677 3.91718
0.54342 0.03189
5.44256 4.9444
8.83093 0.74988
3.3119 3.21097
1.42974 3.96668
7.77793 1.60791
1.53806 1.173
9.27829 0.899
2.14916 3.13968
2.09045 1.641
0.06247 4.518
0.56899 1.50578
3.40119 2.62796
5.41514 2.92055
0.005 4.74531
3.63265 2.75554
4.9871 0.44403
0.13171 4.0721
4.24274 0.46656
1.84708 0.4821
7.04048 0.22943
1.31795 0.81131
1.80265 2.27394
3.6124 2.83237
2.08415 2.50231
7.08834 0.47716
5.44696 2.25748
0.09281 0.46757
2.06696 2.42047
2.72473 1.60998
3.34077 4.36967
5.7205 1.11032
5.9852 3.07167
0.37483 0.25457
3.09462 0.66067
0.07584 4.92568
3.86681 1.60696
0.83459 1.73407
2.31429 0.02451
9.49095 3.29756
9.18213 0.17898
2.15444 0.02731
0.41292 2.90077
9.11483 2.94336
0.23985 3.00508
0.5537 1.81063
2.69309 2.01028
6.54216 1.31108
5.05822 0.43117
5.68913 4.35121
5.69226 4.85903
8.1037 3.90741
1.12845 3.37611
1.85923 0.43292
6.03304 0.1876
2.32969 0.87973
7.91045 0.07426
4.04805 2.39534
2.05637 4.26781
1.27204 0.39882
1.88852 3.67645
7.61414 0.83767
1.04347 0.45074
5.40481 1.3277
1.0876 0.66691
0.55242 2.19491
3.24001 4.52158
1.07887 0.30725
7.53053 1.22896
2.157 3.32223
6.00369 1.04995
3.59582 0.80125
0.26651 2.01805
0.76891 3.59712
4.76242 0.56233
1.76206 3.39509
4.68585 3.1225
8.42849 0.51245
0.74215 2.9749
8.16162 3.88015
0.64975 4.0827
0.69382 4.8268
1.6299 2.37109
8.04126 0.86926
8.32142 2.35848
1.61114 3.50728
9.78598 1.17265
3.65042 0.84993
9.77136 1.75224
9.49189 0.35926
1.51451 3.17443
3.39155 0.64351
1.41006 2.62481
0.14418 1.47448
8.36547 2.40657
0.26775 2.29101
6.1035 2.46902
4.88996 0.93703
2.83139 3.55662
1.91852 0.69893
2.27464 0.2334
0.27458 3.98579
6.57088 3.63227
1.54273 2.72778
8.32293 0.10831
4.4671 3.40458
0.39236 2.83421
0.20121 4.47933
9.8273 0.16507
4.15406 1.76053
3.73169 2.18226
4.92196 1.50714
2.31178 1.55515
